"Product","product_map","Category"
"multidrug-efflux transport protein precursor","A69915","multidrug"
"multidrug-efflux transporter","A40492","multidrug"
"multidrug ABC transporter","A37078","multidrug"
"multidrug ABC transporter ATP-binding protein","A33329","multidrug"
"multidrug ABC transporter ATP-binding protein BmrC","A25157","multidrug"
"multidrug ABC transporter ATP-binding protein/permease ErfC","A21567","multidrug"
"multidrug ABC transporter ATP-binding protein/permease ErfD","A21568","multidrug"
"multidrug ABC transporter ATPase","A16959","multidrug"
"multidrug ABC transporter ATPase/permease","A58984","multidrug"
"multidrug ABC transporter permease","A4412","multidrug"
"multidrug ABC transporter permease component","A35829","multidrug"
"multidrug ABC transporter permease/ATP-binding protein","A8161","multidrug"
"multidrug ABC transporter permease/ATPase","A69951","multidrug"
"multidrug ABC transporter substrate-binding protein","A41191","multidrug"
"multidrug ABC transporter, membrane protein/ATP-binding protein","A45105","multidrug"
"multidrug DMT transporter","A26024","multidrug"
"multidrug DMT transporter permease","A18685","multidrug"
"multidrug effflux MFS transporter","A1628","multidrug"
"multidrug efflux ABC transporter ATP-binding protein","A3971","multidrug"
"multidrug efflux ABC transporter ATP-binding protein LieA","A30696","multidrug"
"multidrug efflux ABC transporter ATP-binding subunit RanA","A22028","multidrug"
"multidrug efflux ABC transporter LmrA","A21263","multidrug"
"multidrug efflux ABC transporter LmrCD subunit C","A21257","multidrug"
"multidrug efflux ABC transporter LmrCD subunit D","A21258","multidrug"
"multidrug efflux ABC transporter permease","A3970","multidrug"
"multidrug efflux ABC transporter permease LieB","A30697","multidrug"
"multidrug efflux ABC transporter permease subunit RanB","A22027","multidrug"
"multidrug efflux ABC transporter permease/ATP-binding subunit SmdA","A14489","multidrug"
"multidrug efflux ABC transporter permease/ATP-binding subunit SmdB","A14490","multidrug"
"multidrug efflux ABC transporter SmrA","A20595","multidrug"
"multidrug efflux ABC transporter subunit EfrA","A17918","multidrug"
"multidrug efflux ABC transporter subunit EfrB","A17917","multidrug"
"multidrug efflux ABC transporter subunit PatA","A28913","multidrug"
"multidrug efflux ABC transporter subunit PatB","A27271","multidrug"
"multidrug efflux ABC transporter VcaM","A25293","multidrug"
"multidrug efflux lipoprotein","A64569","multidrug"
"multidrug efflux MATE transporter AbeM","A20520","multidrug"
"multidrug efflux MATE transporter BexA","A20113","multidrug"
"multidrug efflux MATE transporter CdeA","A13712","multidrug"
"multidrug efflux MATE transporter EmmdR","A8147","multidrug"
"multidrug efflux MATE transporter FepA","A25117","multidrug"
"multidrug efflux MATE transporter MdtK","A6062","multidrug"
"multidrug efflux MATE transporter MepA","A14918","multidrug"
"multidrug efflux MATE transporter NorM","A22754","multidrug"
"multidrug efflux membrane protein","A22211","multidrug"
"multidrug efflux MFS transporter","A7953","multidrug"
"multidrug efflux MFS transporter AbaQ","A20480","multidrug"
"multidrug efflux MFS transporter adaptor subunit VceA","A25363","multidrug"
"multidrug efflux MFS transporter AmvA","A20473","multidrug"
"multidrug efflux MFS transporter Bcr","A5737","multidrug"
"multidrug efflux MFS transporter Blt","A11514","multidrug"
"multidrug efflux MFS transporter Bmr","A11471","multidrug"
"multidrug efflux MFS transporter Bmr3","A24150","multidrug"
"multidrug efflux MFS transporter Cme","A13837","multidrug"
"multidrug efflux MFS transporter Cmr","A24349","multidrug"
"multidrug efflux MFS transporter EfmA","A17882","multidrug"
"multidrug efflux MFS transporter EfpA","A4465","multidrug"
"multidrug efflux MFS transporter EmeA","A21577","multidrug"
"multidrug efflux MFS transporter EmrD","A4913","multidrug"
"multidrug efflux MFS transporter EmrD-3","A25308","multidrug"
"multidrug efflux MFS transporter KdeA","A17718","multidrug"
"multidrug efflux MFS transporter Lde","A25133","multidrug"
"multidrug efflux MFS transporter LmrP","A21280","multidrug"
"multidrug efflux MFS transporter LmrS","A15106","multidrug"
"multidrug efflux MFS transporter MdeA","A15135","multidrug"
"multidrug efflux MFS transporter MdfA","A6491","multidrug"
"multidrug efflux MFS transporter MdrL","A25102","multidrug"
"multidrug efflux MFS transporter MdrM","A25110","multidrug"
"multidrug efflux MFS transporter MdrP","A40049","multidrug"
"multidrug efflux MFS transporter Mdt(A)","A35654","multidrug"
"multidrug efflux MFS transporter MdtG","A6359","multidrug"
"multidrug efflux MFS transporter MdtH","A6352","multidrug"
"multidrug efflux MFS transporter MdtL","A7249","multidrug"
"multidrug efflux MFS transporter MdtM","A6936","multidrug"
"multidrug efflux MFS transporter MdtP","A24164","multidrug"
"multidrug efflux MFS transporter NorA","A14973","multidrug"
"multidrug efflux MFS transporter NorB","A15042","multidrug"
"multidrug efflux MFS transporter NorC","A15188","multidrug"
"multidrug efflux MFS transporter outer membrane subunit VceC","A25362","multidrug"
"multidrug efflux MFS transporter periplasmic adaptor subunit EmrA","A5469","multidrug"
"multidrug efflux MFS transporter periplasmic adaptor subunit EmrK","A5652","multidrug"
"multidrug efflux MFS transporter permease subunit EmrB","A5468","multidrug"
"multidrug efflux MFS transporter permease subunit EmrY","A5653","multidrug"
"multidrug efflux MFS transporter permease subunit VceB","A25364","multidrug"
"multidrug efflux MFS transporter PmrA","A33053","multidrug"
"multidrug efflux MFS transporter SdrM","A15108","multidrug"
"multidrug efflux MFS transporter SmfY","A14517","multidrug"
"multidrug efflux MFS transporter subunit EmrB","A62766","multidrug"
"multidrug efflux MFS transporter subunit EmrY","A41337","multidrug"
"multidrug efflux outer membrane protein OprJ","A64824","multidrug"
"multidrug efflux outer membrane protein OprN","A64635","multidrug"
"multidrug efflux permease","A64200","multidrug"
"multidrug efflux protein","A45964","multidrug"
"multidrug efflux protein NorA","A64887","multidrug"
"multidrug efflux pump-associated protein, AcrZ family","A25939","multidrug"
"multidrug efflux pump accessory protein AcrZ","A6535","multidrug"
"multidrug efflux pump Bcr","A48423","multidrug"
"multidrug efflux pump component MtrF","A58868","multidrug"
"multidrug efflux pump EmrD","A49440","multidrug"
"multidrug efflux pump JefA","A4341","multidrug"
"multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter","A47467","multidrug"
"multidrug efflux pump MdtH","A47621","multidrug"
"multidrug efflux pump MdtK","A48065","multidrug"
"multidrug efflux pump membrane fusion lipoprotein AcrA","A47216","multidrug"
"multidrug efflux pump membrane fusion lipoprotein AcrE","A49158","multidrug"
"multidrug efflux pump membrane fusion protein EmrA","A48767","multidrug"
"multidrug efflux pump membrane fusion protein MdtA","A48336","multidrug"
"multidrug efflux pump membrane fusion protein MdtE","A49320","multidrug"
"multidrug efflux pump membrane subunit EmrB","A48768","multidrug"
"multidrug efflux pump outer membrane protein","A64490","multidrug"
"multidrug efflux pump protein CmeA","A40322","multidrug"
"multidrug efflux pump protein CmeB","A40321","multidrug"
"multidrug efflux pump protein CmeC","A40320","multidrug"
"multidrug efflux pump RND permease AcrB","A47215","multidrug"
"multidrug efflux pump RND permease AcrD","A48621","multidrug"
"multidrug efflux pump RND permease AcrF","A49159","multidrug"
"multidrug efflux pump RND permease MdtF","A5008","multidrug"
"multidrug efflux pump RND permease subunit MdtB","A48337","multidrug"
"multidrug efflux pump RND permease subunit MdtC","A48338","multidrug"
"multidrug efflux pump/bile salt:H(+) antiporter/Na(+):H(+) antiporter/K(+):H(+) antiporter","A49897","multidrug"
"multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC","A27314","multidrug"
"multidrug efflux RND transporter AdeIJK outer membrane channel subunit AdeK","A24135","multidrug"
"multidrug efflux RND transporter inhibitory subunit MexG","A19397","multidrug"
"multidrug efflux RND transporter outer membrane channel subunit AdeC","A20486","multidrug"
"multidrug efflux RND transporter outer membrane channel subunit AdeK","A20423","multidrug"
"multidrug efflux RND transporter outer membrane channel subunit OprM","A19357","multidrug"
"multidrug efflux RND transporter outer membrane channel subunit TbtM","A71191","multidrug"
"multidrug efflux RND transporter outer membrane subunit AdeH","A20457","multidrug"
"multidrug efflux RND transporter outer membrane subunit BepC","A33400","multidrug"
"multidrug efflux RND transporter outer membrane subunit CmeD","A14781","multidrug"
"multidrug efflux RND transporter outer membrane subunit EefC","A17664","multidrug"
"multidrug efflux RND transporter outer membrane subunit OpmB","A19555","multidrug"
"multidrug efflux RND transporter outer membrane subunit OprN","A19556","multidrug"
"multidrug efflux RND transporter outer membrane subunit OprZ","A35153","multidrug"
"multidrug efflux RND transporter outer membrane subunit SmeF","A20613","multidrug"
"multidrug efflux RND transporter periplasmic adaptor MexH","A19396","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit AcrA","A6675","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit AcrE","A5123","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit AdeA","A20484","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit AdeD","A27316","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit AdeF","A20459","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit AdeI","A20425","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit AxyX","A36713","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit BepD","A33410","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit BepF","A33419","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit CeoA","A21535","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit CmeA","A14654","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit CmeE","A14780","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit EefA","A17665","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit LpeA","A24718","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MdsA","A18446","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MexA","A19355","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MexC","A19794","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MexE","A19558","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MexJ","A19442","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MexM","A19680","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MexP","A19452","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MexV","A19767","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MexX","A19608","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MtrC","A22733","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit MuxA","A19552","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit OqxA","A17683","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit OqxA10","A21100","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit OqxA11","A26638","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit OqxA2","A17317","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit OqxA3","A35279","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit OqxA4","A50078","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit OqxA6","A60090","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit SdeA","A14502","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit SdeX","A14492","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit SmeA","A20620","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit SmeD","A20615","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit TbtA","A71193","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit TMexC","A22701","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit TMexC1","A36815","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit TMexC2","A31797","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit TMexC3","A35092","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit VexA","A25384","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit VexC","A25373","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit VexE","A25316","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit VmeA","A24399","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit VmeC","A22961","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit VmeE","A24398","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit VmeJ","A26091","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit VmeT","A24437","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit VmeU","A24438","multidrug"
"multidrug efflux RND transporter periplasmic adaptor subunit VmeY","A23013","multidrug"
"multidrug efflux RND transporter permease AcrD","A5591","multidrug"
"multidrug efflux RND transporter permease MexI","A19395","multidrug"
"multidrug efflux RND transporter permease subunit","A1752","multidrug"
"multidrug efflux RND transporter permease subunit AcrB","A7956","multidrug"
"multidrug efflux RND transporter permease subunit AcrF","A5122","multidrug"
"multidrug efflux RND transporter permease subunit AdeB","A20485","multidrug"
"multidrug efflux RND transporter permease subunit AdeE","A27315","multidrug"
"multidrug efflux RND transporter permease subunit AdeG","A20458","multidrug"
"multidrug efflux RND transporter permease subunit AdeJ","A20424","multidrug"
"multidrug efflux RND transporter permease subunit AxyY","A36714","multidrug"
"multidrug efflux RND transporter permease subunit BepE","A33409","multidrug"
"multidrug efflux RND transporter permease subunit BepG","A33420","multidrug"
"multidrug efflux RND transporter permease subunit CeoB","A21534","multidrug"
"multidrug efflux RND transporter permease subunit CmeB","A14655","multidrug"
"multidrug efflux RND transporter permease subunit CmeF","A14779","multidrug"
"multidrug efflux RND transporter permease subunit EefB","A8316","multidrug"
"multidrug efflux RND transporter permease subunit KexD","A17701","multidrug"
"multidrug efflux RND transporter permease subunit LpeB","A24719","multidrug"
"multidrug efflux RND transporter permease subunit MdsB","A18447","multidrug"
"multidrug efflux RND transporter permease subunit MdtB","A5801","multidrug"
"multidrug efflux RND transporter permease subunit MdtC","A5800","multidrug"
"multidrug efflux RND transporter permease subunit MexB","A19356","multidrug"
"multidrug efflux RND transporter permease subunit MexD","A19793","multidrug"
"multidrug efflux RND transporter permease subunit MexF","A19557","multidrug"
"multidrug efflux RND transporter permease subunit MexK","A19443","multidrug"
"multidrug efflux RND transporter permease subunit MexN","A19679","multidrug"
"multidrug efflux RND transporter permease subunit MexQ","A19453","multidrug"
"multidrug efflux RND transporter permease subunit MexW","A19768","multidrug"
"multidrug efflux RND transporter permease subunit MexY","A19609","multidrug"
"multidrug efflux RND transporter permease subunit MtrD","A22734","multidrug"
"multidrug efflux RND transporter permease subunit MuxB","A19553","multidrug"
"multidrug efflux RND transporter permease subunit MuxC","A19554","multidrug"
"multidrug efflux RND transporter permease subunit OqxB","A8170","multidrug"
"multidrug efflux RND transporter permease subunit OqxB10","A43678","multidrug"
"multidrug efflux RND transporter permease subunit OqxB14","A42716","multidrug"
"multidrug efflux RND transporter permease subunit OqxB15","A41884","multidrug"
"multidrug efflux RND transporter permease subunit OqxB17","A29770","multidrug"
"multidrug efflux RND transporter permease subunit OqxB19","A17682","multidrug"
"multidrug efflux RND transporter permease subunit OqxB2","A25826","multidrug"
"multidrug efflux RND transporter permease subunit OqxB20","A25816","multidrug"
"multidrug efflux RND transporter permease subunit OqxB21","A42000","multidrug"
"multidrug efflux RND transporter permease subunit OqxB25","A27058","multidrug"
"multidrug efflux RND transporter permease subunit OqxB27","A42963","multidrug"
"multidrug efflux RND transporter permease subunit OqxB32","A28120","multidrug"
"multidrug efflux RND transporter permease subunit OqxB5","A25483","multidrug"
"multidrug efflux RND transporter permease subunit OqxB6","A37492","multidrug"
"multidrug efflux RND transporter permease subunit OqxB9","A38682","multidrug"
"multidrug efflux RND transporter permease subunit SdeB","A14501","multidrug"
"multidrug efflux RND transporter permease subunit SdeY","A14491","multidrug"
"multidrug efflux RND transporter permease subunit SmeB","A20619","multidrug"
"multidrug efflux RND transporter permease subunit SmeE","A20614","multidrug"
"multidrug efflux RND transporter permease subunit TbtB","A71192","multidrug"
"multidrug efflux RND transporter permease subunit TMexD","A30270","multidrug"
"multidrug efflux RND transporter permease subunit TMexD1","A22700","multidrug"
"multidrug efflux RND transporter permease subunit TMexD2","A27033","multidrug"
"multidrug efflux RND transporter permease subunit TMexD3","A35093","multidrug"
"multidrug efflux RND transporter permease subunit TtgB","A12157","multidrug"
"multidrug efflux RND transporter permease subunit TtgE","A33495","multidrug"
"multidrug efflux RND transporter permease subunit VexB","A25385","multidrug"
"multidrug efflux RND transporter permease subunit VexF","A25317","multidrug"
"multidrug efflux RND transporter permease subunit VmeB","A24400","multidrug"
"multidrug efflux RND transporter permease subunit VmeD","A16532","multidrug"
"multidrug efflux RND transporter permease subunit VmeF","A22968","multidrug"
"multidrug efflux RND transporter permease subunit VmeK","A24426","multidrug"
"multidrug efflux RND transporter permease subunit VmeV","A23060","multidrug"
"multidrug efflux RND transporter permease subunit VmeZ","A16580","multidrug"
"multidrug efflux RND transporter subunit MdtA","A5802","multidrug"
"multidrug efflux SMR transporter","A1530","multidrug"
"multidrug efflux SMR transporter AbeS","A20461","multidrug"
"multidrug efflux SMR transporter EmrE","A17750","multidrug"
"multidrug efflux SMR transporter Mmr","A3929","multidrug"
"multidrug efflux SMR transporter protein HsmR","A35967","multidrug"
"multidrug efflux SMR transporter Smr","A44069","multidrug"
"multidrug efflux SMR transporter SsmE","A14514","multidrug"
"multidrug efflux SMR transporter subunit EbrA","A11365","multidrug"
"multidrug efflux SMR transporter subunit EbrB","A11364","multidrug"
"multidrug efflux SMR transporter subunit KpnE","A17713","multidrug"
"multidrug efflux SMR transporter subunit KpnF","A17712","multidrug"
"multidrug efflux SMR transporter subunit YkkC","A11277","multidrug"
"multidrug efflux SMR transporter subunit YkkD","A11278","multidrug"
"multidrug efflux system","A69623","multidrug"
"multidrug efflux system CmeABC, outer membrane lipoprotein CmeC","A30174","multidrug"
"multidrug efflux system membrane protein","A40438","multidrug"
"multidrug efflux system outer membrane protein","A40436","multidrug"
"multidrug efflux system protein","A66107","multidrug"
"multidrug efflux system protein AcrB","A63194","multidrug"
"multidrug efflux system protein MdtI","A63379","multidrug"
"multidrug efflux system protein MdtJ","A63380","multidrug"
"multidrug efflux system protein MdtL","A63690","multidrug"
"multidrug efflux system protein MdtO","A42012","multidrug"
"multidrug efflux system protein, EmrE family","A44351","multidrug"
"multidrug efflux system subunit A","A70080","multidrug"
"multidrug efflux system subunit B","A70081","multidrug"
"multidrug efflux system subunit MdtC","A63446","multidrug"
"multidrug efflux system transcriptional regulator CmeR","A14653","multidrug"
"multidrug efflux system transcriptional regulator EmrR","A20596","multidrug"
"multidrug efflux system transcriptional regulator MexT","A19559","multidrug"
"multidrug efflux system transcriptional repressor MtrR","A22732","multidrug"
"multidrug efflux system translocase MdfA","A63261","multidrug"
"multidrug efflux system transporter","A69975","multidrug"
"multidrug efflux system transporter AcrA","A63195","multidrug"
"multidrug efflux transcriptional regulator BltR","A11513","multidrug"
"multidrug efflux transcriptional regulator BmrR","A11472","multidrug"
"multidrug efflux transcriptional repressor AdeL","A20460","multidrug"
"multidrug efflux transcriptional repressor AdeN","A20476","multidrug"
"multidrug efflux transcriptional repressor AxyZ","A35154","multidrug"
"multidrug efflux transporter EmrAB transcriptional repressor EmrR","A5470","multidrug"
"multidrug efflux transporter outer membrane subunit CmeC","A14656","multidrug"
"multidrug efflux transporter outer membrane subunit EmrC","A11509","multidrug"
"multidrug efflux transporter outer membrane subunit HasF","A14530","multidrug"
"multidrug efflux transporter outer membrane subunit MdsC","A18448","multidrug"
"multidrug efflux transporter outer membrane subunit MdtP","A7070","multidrug"
"multidrug efflux transporter outer membrane subunit MtrE","A22735","multidrug"
"multidrug efflux transporter outer membrane subunit OpcM","A21533","multidrug"
"multidrug efflux transporter outer membrane subunit OpmD","A19394","multidrug"
"multidrug efflux transporter outer membrane subunit OpmE","A19454","multidrug"
"multidrug efflux transporter outer membrane subunit OprA","A58861","multidrug"
"multidrug efflux transporter outer membrane subunit OprJ","A19792","multidrug"
"multidrug efflux transporter outer membrane subunit SmeC","A20618","multidrug"
"multidrug efflux transporter outer membrane subunit TOprJ","A36124","multidrug"
"multidrug efflux transporter outer membrane subunit TOprJ1","A22699","multidrug"
"multidrug efflux transporter outer membrane subunit TOprJ2","A31798","multidrug"
"multidrug efflux transporter periplasmic adaptor subunit MdtN","A7068","multidrug"
"multidrug efflux transporter permease subunit MdtO","A7069","multidrug"
"multidrug efflux transporter protein EmrE","A45910","multidrug"
"multidrug efflux transporter SepA","A15107","multidrug"
"multidrug efflux transporter transcriptional repressor AcrR","A6674","multidrug"
"multidrug efflux transporter transcriptional repressor AcrS","A5124","multidrug"
"multidrug efflux transporter transcriptional repressor MepR","A14917","multidrug"
"multidrug effux MFS transporter subunit EmrB","A55960","multidrug"
"multidrug export protein EmrA","A40695","multidrug"
"multidrug MFS transporter","A26820","multidrug"
"multidrug or homocysteine efflux system","A70548","multidrug"
"multidrug resistance-like ATP-binding protein MdlB","A56125","multidrug"
"multidrug resistance ABC transporter ATP-binding protein/permease BmrA","A11726","multidrug"
"multidrug resistance ABC transporter ATP-binding protein/permease BmrD","A11191","multidrug"
"multidrug resistance ABC transporter, ATP-binding and permease components","A66103","multidrug"
"multidrug resistance efflux pump","A64489","multidrug"
"multidrug resistance efflux pump-like protein","A60388","multidrug"
"multidrug resistance efflux pump membrane fusion protein","A70160","multidrug"
"multidrug resistance efflux transporter family protein","A9913","multidrug"
"multidrug resistance operon repressor MexR","A64402","multidrug"
"multidrug resistance outer membrane protein MdtQ","A5767","multidrug"
"multidrug resistance protein","A39170","multidrug"
"multidrug resistance protein (efflux pump/antiporter)","A66229","multidrug"
"multidrug resistance protein (Na(+)/drug antiporter)","A69216","multidrug"
"multidrug resistance protein A","A55257","multidrug"
"multidrug resistance protein B","A55252","multidrug"
"multidrug resistance protein D","A44760","multidrug"
"multidrug resistance protein EmrB","A59137","multidrug"
"multidrug resistance protein EmrK","A55939","multidrug"
"multidrug resistance protein EmrY","A43426","multidrug"
"multidrug resistance protein K","A63502","multidrug"
"multidrug resistance protein MdtA","A55911","multidrug"
"multidrug resistance protein MdtC","A43423","multidrug"
"multidrug resistance protein MdtE","A56021","multidrug"
"multidrug resistance protein MdtG","A61334","multidrug"
"multidrug resistance protein MdtH","A63305","multidrug"
"multidrug resistance protein MdtK","A56206","multidrug"
"multidrug resistance protein MdtL","A56041","multidrug"
"multidrug resistance protein MdtM","A56098","multidrug"
"multidrug resistance protein MdtN","A63756","multidrug"
"multidrug resistance protein MdtO","A70629","multidrug"
"multidrug resistance protein MexA","A64403","multidrug"
"multidrug resistance protein MexB","A64404","multidrug"
"multidrug resistance protein Mmr","A59692","multidrug"
"multidrug resistance protein PmpM","A64494","multidrug"
"multidrug resistance protein SMR","A41297","multidrug"
"multidrug resistance protein Stp","A4301","multidrug"
"multidrug resistance protein Y","A63501","multidrug"
"multidrug resistance protein, MATE family","A69092","multidrug"
"multidrug resistance secretion protein","A67758","multidrug"
"multidrug resistance transmembrane protein (MFS superfamily)","A68483","multidrug"
"multidrug resistance transporter","A43464","multidrug"
"multidrug resistance transporter, Bcr family","A65436","multidrug"
"multidrug resistant protein-like protein","A63403","multidrug"
"multidrug resistant protein emrB","A63547","multidrug"
"multidrug SMR transporter","A50961","multidrug"
"multidrug translocase","A67026","multidrug"
"multidrug transporter","A7498","multidrug"
"multidrug transporter AcrB","A58918","multidrug"
"multidrug transporter CflA","A38956","multidrug"
"multidrug transporter EmrA","A61592","multidrug"
"multidrug transporter EmrD","A56037","multidrug"
"multidrug transporter MatE","A12450","multidrug"
"multidrug transporter MdfA","A43093","multidrug"
"multidrug transporter MdtG","A41325","multidrug"
"multidrug transporter MdtH","A42948","multidrug"
"multidrug transporter MdtL","A38003","multidrug"
"multidrug transporter membrane protein-binding protein","A63474","multidrug"
"multidrug transporter membrane protein\ATP-binding protein","A63193","multidrug"
"multidrug transporter permease","A31245","multidrug"
"multidrug transporter subunit MdtA","A43422","multidrug"
"multidrug transporter subunit MdtB","A55912","multidrug"
"multidrug transporter subunit MdtC","A46830","multidrug"
"multidrug transporter subunit MdtD","A3402","multidrug"
"multidrug transporter subunit MdtE","A5009","multidrug"
"multidrug transporter subunit MdtG","A40627","multidrug"
"multidrug transporter subunit MdtJ","A45886","multidrug"
"multidrug transporter subunit MdtL","A43743","multidrug"
"multidrug transporter subunit MdtN","A8354","multidrug"
"multidrug transporter subunit MdtO","A8353","multidrug"
"multidrug/betaine/choline efflux transporter EmrE","A47262","multidrug"
"multidrug/biocide efflux PACE transporter","A1905","multidrug"
"multidrug/spermidine efflux pump membrane subunit MdtI","A48020","multidrug"
"multidrug/spermidine efflux pump membrane subunit MdtJ","A48021","multidrug"
"multidrug/spermidine efflux SMR transporter subunit MdtI","A6104","multidrug"
"multidrug/spermidine efflux SMR transporter subunit MdtJ","A6103","multidrug"
"multiple antibiotic resistance (MarC)-like protein","A68494","multidrug"
"multiple antibiotic resistance protein","A63011","multidrug"
"multiple antibiotic resistance protein MarB","A6130","multidrug"
"multiple drug resistance protein MarC","A64879","multidrug"
"MUS family subclass B1 metallo-beta-lactamase","A44688","beta-lactamase"
"MUS/TUS/MOC family subclass B1 metallo-beta-lactamase","A52113","beta-lactamase"
"mutlidrug efflux system membrane fusion protein","A40437","multidrug"
"Na+-driven multidrug efflux pump","A24603","multidrug"
"NAD(+)--rifampin ADP-ribosyltransferase","A10644","rifampin"
"NAD(+)--rifampin ADP-ribosyltransferase Arr-2","A25485","rifampin"
"NAD(+)--rifampin ADP-ribosyltransferase Arr-3","A22708","rifampin"
"NAD(+)--rifampin ADP-ribosyltransferase Arr-6","A57684","rifampin"
"NAD(+)--rifampin ADP-ribosyltransferase Arr-7","A50692","rifampin"
"NDM family subclass B1 metallo-beta-lactamase","A35804","beta-lactamase"
"negative regulator of beta-lactamase","A45612","beta-lactamase"
"NimABCDEF family 5-nitroimidazole reductase","A30193","nitroimidazole"
"NimABCDEF family nitroimidazole resistance protein","A55824","nitroimidazole"
"NimIJ family nitroimidazole resistance protein","A32386","nitroimidazole"
"Nisin resistance protein (Putative)","A51553","antimicrobial peptide"
"nisin resistance protein Nsr","A64146","antimicrobial peptide"
"nitroimidazole resistance protein NimE","A42265","nitroimidazole"
"nitroimidazole resistance protein NimJ","A52098","nitroimidazole"
"Nogalamycin resistance protein","A36556","nogalamycin"
"NorM family multidrug efflux MATE transporter","A3517","multidrug"
"OCH family extended-spectrum class C beta-lactamase","A43381","beta-lactamase"
"OKP family broad-spectrum class A beta-lactamase","A32597","beta-lactamase"
"oleandomycin glycosyltransferase","A51418","oleandomycin"
"OleI family self-immunity macrolide glycosyltransferase","A57171","macrolide"
"ORN family class A beta-lactamase","A46236","beta-lactamase"
"OXA-1 family class D beta-lactamase","A29701","beta-lactamase"
"OXA-1 family class D beta-lactamase OXA-392","A60418","beta-lactamase"
"OXA-1 family class D beta-lactamase OXA-796","A57425","beta-lactamase"
"OXA-1 family oxacillin-hydrolyzing class D beta-lactamase OXA-4","A36866","beta-lactamase"
"OXA-10 family class D beta-lactamase","A37560","beta-lactamase"
"OXA-10 family class D beta-lactamase OXA-101","A35619","beta-lactamase"
"OXA-10 family class D beta-lactamase OXA-246","A30271","beta-lactamase"
"OXA-10 family class D beta-lactamase OXA-520","A52189","beta-lactamase"
"OXA-10 family class D beta-lactamase OXA-677","A49976","beta-lactamase"
"OXA-10 family extended-spectrum class D beta-lactamase OXA-17","A42091","beta-lactamase"
"OXA-10 family extended-spectrum class D beta-lactamase OXA-35","A50691","beta-lactamase"
"OXA-10 family extended-spectrum class D beta-lactamase OXA-935","A60279","beta-lactamase"
"OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-56","A27335","beta-lactamase"
"OXA-1036 family carbapenem-hydrolyzing class D beta-lactamase","A34258","beta-lactamase"
"OXA-1043 family class D beta-lactamase","A21493","beta-lactamase"
