Genome,Replicon,plasmid_count,plasmid_total_size,toxin_chromosome,biofilm_chromosome,toxin_plasmid,biofilm_plasmid
GCF_018831385.1,NZ_CP029264.1 chromosome;NZ_CP029265.1 plasmid;NZ_CP029266.1 plasmid,2,94006,29,0,3,0
GCF_018831405.1,NZ_CP029277.1 chromosome;NZ_CP029278.1 plasmid;NZ_CP029279.1 plasmid,2,108294,29,0,3,0
GCF_018831425.1,NZ_CP029280.1 chromosome;NZ_CP029281.1 plasmid;NZ_CP029282.1 plasmid;NZ_CP029283.1 plasmid,3,109817,22,0,3,0
GCF_018831445.1,NZ_CP029284.1 chromosome;NZ_CP029285.1 plasmid;NZ_CP029286.1 plasmid,2,105943,29,0,3,0
GCF_018831465.1,NZ_CP049240.1 chromosome,0,0,6,0,0,0
GCF_018831485.1,NZ_CP049314.1 chromosome;NZ_CP049315.1 plasmid,1,11844,4,0,2,0
GCF_018831545.1,NZ_CP058226.1 chromosome;NZ_CP058227.1 plasmid;NZ_CP058228.1 plasmid;NZ_CP058229.1 plasmid;NZ_CP058230.1 plasmid,4,258208,37,6,20,0
GCF_018831585.1,NZ_CP059009.1 chromosome;NZ_CP059010.1 plasmid;NZ_CP059011.1 plasmid;NZ_CP059012.1 plasmid;NZ_CP059013.1 plasmid;NZ_CP059014.1 plasmid;NZ_CP059015.1 plasmid;NZ_CP059016.1 plasmid;NZ_CP059017.1 plasmid;NZ_CP059018.1 plasmid;NZ_CP059019.1 plasmid;NZ_CP059020.1 plasmid;NZ_CP059021.1 plasmid;NZ_CP059022.1 plasmid;NZ_CP059023.1 plasmid;NZ_CP059024.1 plasmid;NZ_CP059025.1 plasmid;NZ_CP059026.1 plasmid;NZ_CP059027.1 plasmid,18,411176,3,0,0,0
GCF_018831605.1,NZ_CP059843.1 chromosome;NZ_CP059844.1 plasmid;NZ_CP059845.1 plasmid,2,6717,6,0,0,0
GCF_018831625.1,NZ_CP065192.1 plasmid;NZ_CP065193.1 chromosome,1,28794,5,0,0,0
GCF_018845095.1,NZ_CP073017.1 chromosome;NZ_CP073018.1 plasmid;NZ_CP073019.1 plasmid;NZ_CP073020.1 plasmid;NZ_CP073021.1 plasmid;NZ_CP073022.1 plasmid;NZ_CP073023.1 plasmid,6,376363,56,0,17,0
GCF_018846995.1,NZ_CP072017.1 chromosome,0,0,7,0,0,0
GCF_018847015.1,NZ_CP072018.1 chromosome,0,0,6,0,0,0
GCF_018847035.1,NZ_CP072019.1 chromosome,0,0,5,0,0,0
GCF_018847055.1,NZ_CP072020.1 chromosome,0,0,6,0,0,0
GCF_018847075.1,NZ_CP072021.1 chromosome,0,0,5,0,0,0
GCF_018847095.1,NZ_CP072022.1 chromosome,0,0,5,0,0,0
GCF_018847115.1,NZ_CP072023.1 chromosome,0,0,8,0,0,0
GCF_018847135.1,NZ_CP072025.1 chromosome,0,0,5,0,0,0
GCF_018847155.1,NZ_CP072024.1 chromosome,0,0,8,0,0,0
GCF_018847175.1,NZ_CP072026.1 chromosome,0,0,8,0,0,0
GCF_018847195.1,NZ_CP072027.1 chromosome,0,0,6,0,0,0
GCF_018847215.1,NZ_CP072028.1 chromosome,0,0,8,0,0,0
GCF_018847235.1,NZ_CP072029.1 chromosome,0,0,4,0,0,0
GCF_018847255.1,NZ_CP072030.1 chromosome,0,0,6,0,0,0
GCF_018847275.1,NZ_CP072031.1 chromosome,0,0,6,0,0,0
GCF_018847295.1,NZ_CP072032.1 chromosome,0,0,6,0,0,0
GCF_018847315.1,NZ_CP072033.1 chromosome,0,0,6,0,0,0
GCF_018847335.1,NZ_CP072034.1 chromosome,0,0,6,0,0,0
GCF_018847355.1,NZ_CP072035.1 chromosome,0,0,8,0,0,0
GCF_018847375.1,NZ_CP072036.1 chromosome,0,0,5,0,0,0
GCF_018847395.1,NZ_CP072037.1 chromosome,0,0,8,0,0,0
GCF_018847415.1,NZ_CP072038.1 chromosome,0,0,5,0,0,0
GCF_018847435.1,NZ_CP072039.1 chromosome,0,0,5,0,0,0
GCF_018847455.1,NZ_CP072053.1 chromosome,0,0,5,0,0,0
GCF_018847475.1,NZ_CP072040.1 chromosome,0,0,5,0,0,0
GCF_018847495.1,NZ_CP072042.1 chromosome,0,0,5,0,0,0
GCF_018847515.1,NZ_CP072041.1 chromosome,0,0,5,0,0,0
GCF_018847535.1,NZ_CP072043.1 chromosome,0,0,8,0,0,0
GCF_018847555.1,NZ_CP072044.1 chromosome,0,0,5,0,0,0
GCF_018847575.1,NZ_CP072045.1 chromosome,0,0,4,0,0,0
GCF_018847595.1,NZ_CP072046.1 chromosome,0,0,5,0,0,0
GCF_018847615.1,NZ_CP072047.1 chromosome,0,0,8,0,0,0
GCF_018847695.1,NZ_CP072048.1 chromosome,0,0,6,0,0,0
GCF_018847755.1,NZ_CP072049.1 chromosome,0,0,8,0,0,0
GCF_018847795.1,NZ_CP072050.1 chromosome,0,0,5,0,0,0
GCF_018847895.1,NZ_CP072051.1 chromosome,0,0,8,0,0,0
GCF_018847935.1,NZ_CP072052.1 chromosome,0,0,5,0,0,0
GCF_018847975.1,NZ_CP072597.1 chromosome,0,0,17,0,0,0
GCF_018861215.2,NZ_CP076406.1 chromosome;NZ_CP123366.1 plasmid;NZ_CP123367.1 plasmid;NZ_CP123368.1 plasmid,3,351274,44,1,7,0
GCF_018861235.2,NZ_CP076405.1 chromosome;NZ_CP123373.1 plasmid;NZ_CP123374.1 plasmid;NZ_CP123375.1 plasmid,3,447638,44,1,9,0
GCF_018861255.2,NZ_CP076407.1 chromosome;NZ_CP123369.1 plasmid;NZ_CP123370.1 plasmid;NZ_CP123371.1 plasmid;NZ_CP123372.1 plasmid,4,433463,44,1,9,0
GCF_018861275.1,NZ_CP076408.1 chromosome,0,0,24,2,0,0
GCF_018866205.1,NZ_CP076459.1 chromosome,0,0,0,0,0,0
GCF_018866245.1,NZ_CP076458.1 chromosome,0,0,21,0,0,0
GCF_018866265.1,NZ_CP076446.1 chromosome;NZ_CP076447.1 plasmid,1,21922,7,0,0,0
GCF_018866305.1,NZ_CP076456.1 chromosome,0,0,12,0,0,0
GCF_018866325.1,NZ_CP076457.1 chromosome,0,0,33,0,0,0
GCF_018866345.1,NZ_CP076443.1 chromosome,0,0,7,0,0,0
GCF_018866365.1,NZ_CP076450.1 chromosome;NZ_CP076451.1 plasmid;NZ_CP076452.1 plasmid,2,77502,28,3,0,0
GCF_018873185.1,NZ_CP071311.1 chromosome;NZ_CP071312.1 chromosome;NZ_CP071313.1 plasmid;NZ_CP071314.1 plasmid;NZ_CP071315.1 plasmid;NZ_CP071316.1 plasmid,4,334675,36,0,19,0
GCF_018884065.1,NZ_CP048915.1 chromosome;NZ_CP048916.1 plasmid;NZ_CP048917.1 plasmid;NZ_CP048918.1 plasmid;NZ_CP048919.1 plasmid,4,256928,73,10,15,0
GCF_018884105.1,NZ_CP049144.1 chromosome;NZ_CP049145.1 plasmid;NZ_CP049146.1 plasmid,2,141749,28,2,1,1
GCF_018884125.1,NZ_CP049154.1 chromosome;NZ_CP049155.1 plasmid,1,100874,24,2,0,0
GCF_018884165.1,NZ_CP063150.1 chromosome,0,0,36,7,0,0
GCF_018884185.1,NZ_CP063158.1 chromosome;NZ_CP063159.1 plasmid;NZ_CP063160.1 plasmid;NZ_CP063161.1 plasmid,3,647790,31,1,1,0
GCF_018884205.1,NZ_CP065522.1 chromosome,0,0,10,0,0,0
GCF_018884225.1,NZ_CP065540.1 chromosome;NZ_CP065541.1 plasmid;NZ_CP065542.1 plasmid;NZ_CP065543.1 plasmid,3,196415,13,0,5,0
GCF_018884245.1,NZ_CP020033.1 chromosome,0,0,23,0,0,0
GCF_018884265.1,NZ_CP035812.1 chromosome;NZ_CP035813.1 plasmid;NZ_CP035814.1 plasmid;NZ_CP035815.1 plasmid;NZ_CP035816.1 plasmid,4,296243,77,9,13,0
GCF_018884285.1,NZ_CP035817.1 chromosome;NZ_CP035818.1 plasmid,1,162860,80,10,12,0
GCF_018884305.1,NZ_CP035819.1 chromosome;NZ_CP035820.1 plasmid;NZ_CP035821.1 plasmid,2,231216,78,10,12,0
GCF_018884325.1,NZ_CP035822.1 chromosome;NZ_CP035823.1 plasmid;NZ_CP035824.1 plasmid;NZ_CP035825.1 plasmid,3,194150,67,10,8,0
GCF_018884345.1,NZ_CP035832.1 chromosome;NZ_CP035833.1 plasmid;NZ_CP035834.1 plasmid;NZ_CP035835.1 plasmid,3,255613,83,9,11,0
GCF_018884365.1,NZ_CP035836.1 chromosome;NZ_CP035837.1 plasmid;NZ_CP035838.1 plasmid;NZ_CP035839.1 plasmid;NZ_CP035840.1 plasmid,4,378762,73,10,16,0
GCF_018884385.1,NZ_CP035841.1 chromosome;NZ_CP035842.1 plasmid;NZ_CP035843.1 plasmid;NZ_CP035844.1 plasmid;NZ_CP035845.1 plasmid,4,397623,86,10,18,0
GCF_018884405.1,NZ_CP035846.1 chromosome;NZ_CP035847.1 plasmid;NZ_CP035848.1 plasmid;NZ_CP035849.1 plasmid,3,266298,71,9,16,0
GCF_018884425.1,NZ_CP035850.1 chromosome;NZ_CP035851.1 plasmid;NZ_CP035852.1 plasmid;NZ_CP035853.1 plasmid;NZ_CP035854.1 plasmid,4,462194,80,9,15,0
GCF_018884445.1,NZ_CP035855.1 chromosome;NZ_CP035856.1 plasmid;NZ_CP035857.1 plasmid;NZ_CP035858.1 plasmid;NZ_CP035859.1 plasmid,4,346951,74,10,14,0
GCF_018884465.1,NZ_CP035860.1 chromosome;NZ_CP035861.1 plasmid;NZ_CP035862.1 plasmid;NZ_CP035863.1 plasmid;NZ_CP035864.1 plasmid,4,379373,85,10,9,0
GCF_018884485.1,NZ_CP035865.1 chromosome;NZ_CP035866.1 plasmid;NZ_CP035867.1 plasmid;NZ_CP035868.1 plasmid;NZ_CP035869.1 plasmid,4,327812,77,9,17,0
GCF_018884505.1,NZ_CP035870.1 chromosome;NZ_CP035871.1 plasmid;NZ_CP035872.1 plasmid;NZ_CP035873.1 plasmid,3,245063,68,9,12,0
GCF_018884525.1,NZ_CP035874.1 chromosome;NZ_CP035875.1 plasmid;NZ_CP035876.1 plasmid;NZ_CP035877.1 plasmid;NZ_CP035878.1 plasmid,4,393606,72,9,21,0
GCF_018884545.1,NZ_CP035879.1 chromosome;NZ_CP035880.1 plasmid;NZ_CP035881.1 plasmid,2,211690,78,9,15,0
GCF_018884565.1,NZ_CP035882.1 chromosome;NZ_CP035883.1 plasmid,1,186206,78,10,14,0
GCF_018884585.1,NZ_CP035884.1 chromosome;NZ_CP035885.1 plasmid,1,163137,94,10,15,0
GCF_018884605.1,NZ_CP037797.1 chromosome,0,0,16,0,0,0
GCF_018884665.1,NZ_CP037802.1 chromosome;NZ_CP037803.1 plasmid;NZ_CP037804.1 plasmid,2,47974,13,0,0,0
GCF_018884705.1,NZ_CP037806.1 chromosome;NZ_CP037807.1 plasmid;NZ_CP037808.1 plasmid;NZ_CP037809.1 plasmid;NZ_CP037810.1 plasmid,4,193619,14,0,2,0
GCF_018884725.1,NZ_CP037811.1 chromosome,0,0,15,0,0,0
GCF_018884745.1,NZ_CP037812.1 chromosome,0,0,13,0,0,0
GCF_018884765.1,NZ_CP037818.1 chromosome;NZ_CP037819.1 plasmid,1,12526,14,0,0,0
GCF_018884825.1,NZ_CP037821.1 chromosome,0,0,13,0,0,0
GCF_018884845.1,NZ_CP037822.1 chromosome;NZ_CP037823.1 plasmid;NZ_CP037824.1 plasmid;NZ_CP037825.1 plasmid;NZ_CP037826.1 plasmid,4,199315,18,0,1,0
GCF_018884865.1,NZ_CP037827.1 chromosome;NZ_CP037828.1 plasmid;NZ_CP037829.1 plasmid,2,58541,15,0,1,0
GCF_018884885.1,NZ_CP037830.1 chromosome,0,0,15,0,0,0
GCF_018884905.1,NZ_CP037831.1 chromosome;NZ_CP037832.1 plasmid;NZ_CP037833.1 plasmid;NZ_CP037834.1 plasmid,3,66829,18,0,0,0
GCF_018884925.1,NZ_CP037835.1 chromosome;NZ_CP037836.1 plasmid;NZ_CP037837.1 plasmid;NZ_CP037838.1 plasmid,3,61567,15,0,1,0
GCF_018884945.1,NZ_CP037840.1 chromosome;NZ_CP037841.1 plasmid;NZ_CP037842.1 plasmid;NZ_CP037843.1 plasmid,3,81884,16,0,1,0
GCF_018884965.1,NZ_CP037839.1 chromosome,0,0,15,0,0,0
GCF_018885045.1,NZ_CP037844.1 chromosome;NZ_CP037845.1 plasmid;NZ_CP037846.1 plasmid;NZ_CP037847.1 plasmid,3,23249,19,0,0,0
GCF_018885065.1,NZ_CP076377.1 chromosome,0,0,14,0,0,0
GCF_018885085.1,NZ_CP076401.1 chromosome;NZ_CP076402.1 plasmid,1,6760,15,0,0,0
GCF_018885105.1,NZ_CP076376.1 chromosome,0,0,16,0,0,0
GCF_018885125.1,NZ_CP076507.1 chromosome;NZ_CP076508.1 plasmid,1,45798,8,0,2,0
GCF_018885145.1,NZ_CP076509.1 chromosome,0,0,12,0,0,0
GCF_018885165.1,NZ_CP076510.1 chromosome;NZ_CP076511.1 plasmid;NZ_CP076512.1 plasmid,2,52895,19,0,2,0
GCF_018885185.1,NZ_CP076503.1 chromosome,0,0,12,0,0,0
GCF_018885205.1,NZ_CP076504.1 chromosome,0,0,13,0,0,0
GCF_018885225.1,NZ_CP076505.1 chromosome;NZ_CP076506.1 plasmid,1,49491,8,0,2,0
GCF_018885245.1,NZ_CP076513.1 chromosome,0,0,13,0,0,0
GCF_018885265.1,NZ_CP076538.1 chromosome,0,0,26,0,0,0
GCF_018885285.1,NZ_CP076517.1 chromosome,0,0,14,0,0,0
GCF_018885305.1,NZ_CP076544.1 chromosome,0,0,13,0,0,0
GCF_018885325.1,NZ_CP076522.1 chromosome;NZ_CP076523.1 plasmid;NZ_CP076524.1 plasmid;NZ_CP076525.1 plasmid,3,76013,43,0,1,0
GCF_018885345.1,NZ_CP076518.1 chromosome;NZ_CP076519.1 plasmid;NZ_CP076520.1 plasmid;NZ_CP076521.1 plasmid,3,351715,34,6,15,0
GCF_018885365.1,NZ_CP076539.1 chromosome;NZ_CP076540.1 plasmid;NZ_CP076541.1 plasmid;NZ_CP076542.1 plasmid,3,554307,41,1,22,0
GCF_018885385.1,NZ_CP076532.1 chromosome;NZ_CP076533.1 plasmid,1,30428,19,3,0,0
GCF_018889915.1,NZ_CP076556.1 chromosome;NZ_CP076557.1 chromosome;NZ_CP076558.1 plasmid;NZ_CP076559.1 plasmid;NZ_CP076560.1 plasmid,3,482128,22,0,6,0
GCF_018889955.1,NZ_CP076545.1 chromosome,0,0,9,0,0,0
GCF_018889995.1,NZ_CP076547.1 chromosome,0,0,9,0,0,0
GCF_018904205.1,NZ_CP076386.1 chromosome,0,0,49,2,0,0
GCF_018905915.1,NZ_CP064782.1 chromosome,0,0,8,0,0,0
GCF_018906035.1,NZ_CP072875.1 chromosome,0,0,8,0,0,0
GCF_018924625.1,NZ_CP073027.1 chromosome,0,0,13,0,0,0
GCF_018966505.1,NZ_CP076605.1 chromosome;NZ_CP076606.1 plasmid,1,185066,23,4,5,0
GCF_018966525.1,NZ_CP076607.1 chromosome,0,0,14,0,0,0
GCF_018966765.1,NZ_CP076626.1 chromosome,0,0,13,0,0,0
GCF_018966785.1,NZ_CP076645.1 chromosome,0,0,87,9,0,0
GCF_018966805.1,NZ_CP076644.1 chromosome,0,0,12,0,0,0
GCF_018966825.1,NZ_CP076651.1 chromosome,0,0,40,4,0,0
GCF_018966845.1,NZ_CP076646.1 chromosome;NZ_CP076647.1 plasmid;NZ_CP076648.1 plasmid;NZ_CP076649.1 plasmid;NZ_CP076650.1 plasmid,4,549944,66,9,11,0
GCF_018966865.1,NZ_CP076653.1 chromosome,0,0,31,1,0,0
GCF_018968645.1,NZ_CP076654.1 chromosome;NZ_CP076655.1 plasmid,1,166302,75,10,14,0
GCF_018968665.1,NZ_CP076656.1 chromosome,0,0,8,0,0,0
GCF_018968685.1,NZ_CP076657.1 chromosome;NZ_CP076658.1 plasmid;NZ_CP076659.1 plasmid,2,78729,4,0,1,0
GCF_018968705.1,NZ_CP076668.1 chromosome,0,0,31,0,0,0
GCF_018968725.1,NZ_CP076660.1 chromosome,0,0,46,0,0,0
GCF_018968745.1,NZ_CP076669.1 chromosome;NZ_CP076670.1 plasmid,1,53953,13,0,1,0
GCF_018972025.2,NZ_CP065039.2 chromosome,0,0,54,1,0,0
GCF_018972045.1,NZ_CP069386.1 chromosome,0,0,78,9,0,0
GCF_018972085.1,NZ_CP076675.1 chromosome,0,0,12,0,0,0
GCF_018972105.1,NZ_CP076680.1 chromosome,0,0,3,0,0,0
GCF_018972145.1,NZ_CP076685.1 chromosome,0,0,2,0,0,0
GCF_018972165.1,NZ_CP076686.1 chromosome,0,0,5,0,0,0
GCF_018972185.1,NZ_CP076683.1 chromosome;NZ_CP076684.1 plasmid,1,117255,7,4,1,0
GCF_018972205.1,NZ_CP076687.1 chromosome;NZ_CP076688.1 plasmid,1,116936,76,7,6,0
GCF_018972225.1,NZ_CP076689.1 chromosome;NZ_CP076690.1 plasmid;NZ_CP076691.1 plasmid;NZ_CP076692.1 plasmid,3,113132,78,7,7,0
GCF_018972245.1,NZ_CP076697.1 chromosome;NZ_CP076698.1 plasmid;NZ_CP076699.1 plasmid;NZ_CP076700.1 plasmid,3,138243,79,8,15,0
GCF_018972265.1,NZ_CP076693.1 chromosome;NZ_CP076694.1 plasmid;NZ_CP076695.1 plasmid;NZ_CP076696.1 plasmid,3,156057,86,8,10,0
GCF_018982885.2,NZ_CP081848.1 chromosome;NZ_CP081849.1 plasmid;NZ_CP081850.1 plasmid,2,942141,26,0,8,0
GCF_018986715.1,NZ_CP053390.1 chromosome,0,0,39,9,0,0
GCF_018986735.1,NZ_CP065521.1 chromosome,0,0,9,0,0,0
GCF_018986755.2,NZ_CP075604.2 chromosome;NZ_CP075605.1 plasmid;NZ_CP075606.1 plasmid;NZ_CP075607.1 plasmid;NZ_CP075608.1 plasmid;NZ_CP075609.1 plasmid;NZ_CP075610.1 plasmid,6,220211,30,4,11,0
GCF_018986795.1,NZ_CP076709.1 chromosome;NZ_CP076710.1 plasmid;NZ_CP076711.1 plasmid;NZ_CP076712.1 plasmid;NZ_CP076713.1 plasmid,4,224585,72,9,14,0
GCF_018986815.1,NZ_CP076706.1 chromosome;NZ_CP076707.1 plasmid;NZ_CP076708.1 plasmid,2,177221,63,7,6,0
GCF_018986835.1,NZ_CP076704.1 chromosome;NZ_CP076705.1 plasmid,1,117710,90,9,10,0
GCF_018986855.1,NZ_CP076731.1 chromosome;NZ_CP076732.1 plasmid,1,5838,37,7,0,0
GCF_018986875.1,NZ_CP076721.1 chromosome;NZ_CP076722.1 plasmid,1,7550,33,0,0,0
GCF_018986915.1,NZ_CP076723.1 chromosome,0,0,35,0,0,0
GCF_018986935.1,NZ_CP076724.1 chromosome,0,0,15,0,0,0
GCF_018987235.1,NZ_CP072197.1 chromosome,0,0,39,0,0,0
GCF_018987265.1,NZ_CP076853.1 chromosome;NZ_CP076854.1 plasmid;NZ_CP076855.1 plasmid,2,2555847,28,0,15,0
GCF_018987285.1,NZ_CP076846.1 chromosome;NZ_CP076847.1 chromosome;NZ_CP076848.1 plasmid;NZ_CP076849.1 plasmid;NZ_CP076850.1 plasmid,3,301486,34,0,4,0
GCF_018987305.1,NZ_CP076838.1 chromosome,0,0,35,8,0,0
GCF_018987325.1,NZ_CP076839.1 chromosome;NZ_CP076840.1 plasmid;NZ_CP076841.1 plasmid;NZ_CP076842.1 plasmid,3,22558,34,0,1,0
GCF_018987345.1,NZ_CP076843.1 chromosome;NZ_CP076844.1 plasmid;NZ_CP076845.1 plasmid,2,7807,34,0,0,0
GCF_018987365.1,NZ_CP076823.1 chromosome,0,0,44,0,0,0
GCF_018988345.1,NZ_CP067399.1 chromosome;NZ_CP067400.1 plasmid;NZ_CP067401.1 plasmid,2,234798,71,10,9,0
GCF_018988385.1,NZ_CP068041.1 chromosome;NZ_CP068042.1 plasmid;NZ_CP068043.1 plasmid;NZ_CP068044.1 plasmid;NZ_CP068045.1 plasmid,4,513408,63,10,19,0
GCF_019021805.1,NZ_CP077423.1 chromosome,0,0,22,0,0,0
GCF_019021925.1,NZ_CP058990.1 chromosome,0,0,5,1,0,0
GCF_019038085.1,NZ_CP070327.1 chromosome,0,0,57,0,0,0
GCF_019038105.1,NZ_CP071137.1 chromosome,0,0,58,0,0,0
GCF_019038575.1,NZ_CP076863.1 chromosome;NZ_CP076864.1 plasmid;NZ_CP076865.1 plasmid;NZ_CP076866.1 plasmid;NZ_CP076867.1 plasmid;NZ_CP076868.1 plasmid;NZ_CP076869.1 plasmid,6,82378,37,6,7,0
GCF_019039255.1,NZ_CP077062.1 chromosome,0,0,9,0,0,0
GCF_019046905.1,NZ_CP077206.1 chromosome;NZ_CP077207.1 plasmid;NZ_CP077208.1 plasmid,2,313804,30,7,5,0
GCF_019046925.1,NZ_CP077201.1 chromosome;NZ_CP077202.1 plasmid;NZ_CP077203.1 plasmid;NZ_CP077204.1 plasmid,3,328034,9,0,0,0
GCF_019046945.1,NZ_CP077224.1 chromosome,0,0,7,0,0,0
GCF_019046965.1,NZ_CP077205.1 chromosome,0,0,4,1,0,0
GCF_019046985.1,NZ_CP077221.1 chromosome;NZ_CP077222.1 plasmid,1,113265,9,0,1,0
GCF_019047025.1,NZ_CP077407.1 chromosome;NZ_CP077408.1 plasmid;NZ_CP077409.1 plasmid,2,168817,34,7,9,0
GCF_019047045.1,NZ_CP077209.1 chromosome,0,0,9,0,0,0
GCF_019047065.1,NZ_CP077210.1 chromosome,0,0,4,0,0,0
GCF_019047085.1,NZ_CP077237.1 chromosome,0,0,11,0,0,0
GCF_019047105.1,NZ_CP077211.1 chromosome;NZ_CP077212.1 plasmid;NZ_CP077213.1 plasmid,2,285880,39,7,10,0
GCF_019047125.1,NZ_CP077214.1 chromosome,0,0,9,0,0,0
GCF_019047185.1,NZ_CP077232.1 chromosome;NZ_CP077233.1 plasmid;NZ_CP077234.1 plasmid;NZ_CP077235.1 plasmid,3,116264,11,0,7,0
GCF_019047205.1,NZ_CP077238.1 chromosome;NZ_CP077239.1 plasmid;NZ_CP077240.1 plasmid;NZ_CP077241.1 plasmid,3,126093,10,1,6,0
GCF_019047325.1,NZ_CP077249.1 chromosome,0,0,12,0,0,0
GCF_019047465.1,NZ_CP077236.1 chromosome,0,0,43,7,0,0
GCF_019047505.1,NZ_CP077248.1 chromosome,0,0,10,0,0,0
GCF_019047545.1,NZ_CP077242.1 chromosome,0,0,50,7,0,0
GCF_019047765.1,NZ_CP077261.1 plasmid;NZ_CP077262.1 chromosome;NZ_CP077263.1 plasmid,2,102447,37,5,7,0
GCF_019047785.1,NZ_CP077290.1 chromosome,0,0,39,8,0,0
GCF_019047805.1,NZ_CP077258.1 chromosome,0,0,15,0,0,0
GCF_019047825.1,NZ_CP077259.1 chromosome,0,0,16,0,0,0
GCF_019047885.1,NZ_CP077260.1 chromosome,0,0,36,1,0,0
GCF_019047925.1,NZ_CP077265.1 chromosome,0,0,31,5,0,0
GCF_019047945.1,NZ_CP077264.1 chromosome,0,0,38,8,0,0
GCF_019047985.1,NZ_CP077279.1 chromosome;NZ_CP077280.1 plasmid,1,151573,28,6,5,0
GCF_019048025.1,NZ_CP077270.1 chromosome;NZ_CP077271.1 plasmid;NZ_CP077272.1 plasmid,2,53761,11,0,4,0
GCF_019048045.1,NZ_CP077300.1 chromosome,0,0,29,6,0,0
GCF_019048065.1,NZ_CP077291.1 chromosome;NZ_CP077292.1 plasmid,1,88902,37,6,8,0
GCF_019048085.1,NZ_CP077301.1 chromosome,0,0,8,0,0,0
GCF_019048105.1,NZ_CP077317.1 chromosome;NZ_CP077318.1 plasmid;NZ_CP077319.1 plasmid,2,149353,33,1,18,0
GCF_019048125.1,NZ_CP077293.1 chromosome,0,0,48,5,0,0
GCF_019048165.1,NZ_CP077302.1 chromosome,0,0,28,0,0,0
GCF_019048185.1,NZ_CP077331.1 chromosome;NZ_CP077332.1 plasmid;NZ_CP077333.1 plasmid;NZ_CP077334.1 plasmid;NZ_CP077335.1 plasmid,4,322713,42,7,12,0
GCF_019048225.1,NZ_CP077303.1 chromosome;NZ_CP077304.1 plasmid;NZ_CP077305.1 plasmid;NZ_CP077306.1 plasmid;NZ_CP077307.1 plasmid,4,120487,11,0,12,0
GCF_019048245.1,NZ_CP077308.1 chromosome;NZ_CP077309.1 plasmid;NZ_CP077310.1 plasmid,2,717997,33,7,5,1
GCF_019048265.1,NZ_CP077311.1 chromosome;NZ_CP077312.1 plasmid;NZ_CP077313.1 plasmid,2,93312,6,0,1,0
GCF_019048305.1,NZ_CP077336.1 chromosome;NZ_CP077337.1 plasmid;NZ_CP077338.1 plasmid;NZ_CP077339.1 plasmid;NZ_CP077340.1 plasmid;NZ_CP077341.1 plasmid,5,337882,8,0,13,0
GCF_019048365.1,NZ_CP077363.1 chromosome;NZ_CP077364.1 plasmid,1,3830,7,0,2,0
GCF_019048385.1,NZ_CP077366.1 chromosome;NZ_CP077367.1 plasmid;NZ_CP077368.1 plasmid,2,692332,37,6,15,1
GCF_019048405.1,NZ_CP077365.1 chromosome,0,0,4,0,0,0
GCF_019048465.1,NZ_CP077403.1 chromosome,0,0,17,0,0,0
GCF_019048485.1,NZ_CP077410.1 plasmid;NZ_CP077411.1 chromosome;NZ_CP077412.1 plasmid;NZ_CP077413.1 plasmid,3,199656,37,7,6,0
GCF_019048525.1,NZ_CP077369.1 chromosome;NZ_CP077370.1 plasmid;NZ_CP077371.1 plasmid;NZ_CP077372.1 plasmid;NZ_CP077373.1 plasmid;NZ_CP077374.1 plasmid;NZ_CP077375.1 plasmid;NZ_CP077376.1 plasmid;NZ_CP077377.1 plasmid,8,240427,9,0,16,0
GCF_019048545.1,NZ_CP077388.1 chromosome,0,0,25,1,0,0
GCF_019048565.1,NZ_CP077378.1 chromosome,0,0,7,0,0,0
GCF_019048585.1,NZ_CP077387.1 chromosome,0,0,7,0,0,0
GCF_019048625.1,NZ_CP077392.1 chromosome;NZ_CP077393.1 plasmid,1,4995,29,8,1,0
GCF_019048645.1,NZ_CP077404.1 chromosome,0,0,25,1,0,0
GCF_019048665.1,NZ_CP077394.1 chromosome,0,0,16,0,0,0
GCF_019048685.1,NZ_CP077398.1 chromosome,0,0,8,0,0,0
GCF_019048705.1,NZ_CP077395.1 chromosome,0,0,7,0,0,0
GCF_019048725.1,NZ_CP077399.1 chromosome;NZ_CP077400.1 plasmid,1,6925,11,0,0,0
GCF_019048745.1,NZ_CP077401.1 chromosome;NZ_CP077402.1 plasmid,1,14831,7,0,1,0
GCF_019048805.1,NZ_CP077405.1 chromosome;NZ_CP077406.1 plasmid,1,18541,45,6,3,0
GCF_019048825.1,NZ_CP077603.1 chromosome,0,0,29,0,0,0
GCF_019048845.1,NZ_CP077425.1 chromosome;NZ_CP077426.1 chromosome;NZ_CP077427.1 plasmid,1,7988,47,1,0,0
GCF_019048865.1,NZ_CP077604.1 chromosome,0,0,9,0,0,0
GCF_019048885.1,NZ_CP077429.1 chromosome;NZ_CP077430.1 plasmid;NZ_CP077431.1 plasmid;NZ_CP077432.1 plasmid;NZ_CP077433.1 plasmid;NZ_CP077434.1 plasmid;NZ_CP077435.1 plasmid,6,117690,39,5,3,0
GCF_019048905.1,NZ_CP077679.1 chromosome,0,0,18,0,0,0
GCF_019048925.1,NZ_CP077417.1 chromosome;NZ_CP077418.1 plasmid;NZ_CP077419.1 plasmid;NZ_CP077420.1 plasmid,3,920342,12,0,4,0
